ID_REGISTRO,OPERADOR,SONDA,TECN,AMBITO,CLASE,PLAN,VEL_CONT_B,VEL_CONT_S,CAT,LAT,VB,VS,JIT,PP,FECHA
206,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.56,4.93,1.51,0.34,0,2025-01-07 18:20:01
207,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,28.61,4.92,1.51,0.30,0,2025-01-07 18:40:01
208,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.44,4.93,1.51,0.37,0,2025-01-07 19:00:01
209,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.37,4.93,1.52,0.38,0,2025-01-07 19:20:02
210,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.21,4.93,1.52,0.36,0,2025-01-07 19:40:01
211,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.70,4.93,1.51,0.23,0,2025-01-07 20:00:02
212,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.90,4.92,1.52,0.40,0,2025-01-07 20:20:01
213,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.28,4.93,1.51,0.43,0,2025-01-07 20:40:01
214,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.14,4.93,1.52,0.40,0,2025-01-07 21:00:02
215,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.90,4.93,1.51,0.30,0,2025-01-07 21:20:01
